financial_year,state_code,states,requirement_urea,availability_urea,sales_urea,requirement_dap,availability_dap,sales_dap,requirement_mop,availability_mop,sales_mop,requirement_npks,availability_npks,sales_npks
2014-15,1.0,Andaman & Nicobar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0
2014-15,2.0,Andhra Pradesh,18.27,18.54,18.07,5.52,3.13,2.94,2.94,2.77,2.54,13.84,13.4,12.51
2014-15,3.0,Arunachal Pradesh,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2014-15,4.0,Assam,3.15,3.19,3.16,0.45,0.37,0.33,1.25,0.79,0.67,0.1,0.13,0.11
2014-15,5.0,Bihar,19.0,19.43,19.4,4.6,3.66,3.53,1.55,1.77,1.54,2.75,2.87,2.66
2014-15,6.0,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,7.0,Chattisgarh,6.75,6.32,6.28,2.75,2.37,2.33,0.85,0.7,0.61,1.8,0.78,0.71
2014-15,8.0,Dadra & Nagar Haveli,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,9.0,Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,10.0,Delhi,0.08,0.09,0.09,0.05,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0
2014-15,11.0,GOA,0.05,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.03
2014-15,12.0,Gujarat,22.0,22.75,22.7,5.4,4.31,4.04,1.4,1.36,1.33,5.2,5.94,5.61
2014-15,13.0,Harayana,18.6,20.05,20.02,4.5,4.27,4.12,0.25,0.59,0.51,0.45,0.36,0.35
2014-15,14.0,Himachal Pradesh,0.7,0.67,0.67,0.0,0.0,0.0,0.09,0.1,0.1,0.31,0.21,0.21
2014-15,15.0,J&K,1.38,1.17,1.16,0.72,0.73,0.64,0.25,0.3,0.25,0.0,0.02,0.02
2014-15,16.0,Jharkhand,2.25,1.8,1.8,0.75,0.27,0.27,0.16,0.01,0.01,0.55,0.26,0.26
2014-15,17.0,Karnataka,14.0,15.42,15.32,6.0,5.24,5.1,3.25,3.94,3.63,12.0,12.61,12.1
2014-15,18.0,Kerala,1.7,1.36,1.36,0.25,0.35,0.31,1.63,1.15,1.14,2.3,1.5,1.4
2014-15,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,20.0,Madhya Pradesh,20.0,20.73,20.7,10.0,9.17,9.03,0.9,0.99,0.83,3.45,2.5,2.25
2014-15,21.0,Maharashtra,26.5,25.78,25.68,8.5,5.49,5.59,4.0,4.9,4.48,20.0,17.02,16.17
2014-15,22.0,Manipur,0.29,0.23,0.23,0.07,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0
2014-15,23.0,Meghalaya,0.03,0.06,0.06,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2014-15,24.0,Mizoram,0.09,0.04,0.04,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2014-15,25.0,Nagaland,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
2014-15,26.0,Orissa,6.0,5.06,5.04,1.6,1.49,1.47,1.25,0.94,0.9,3.25,2.33,2.29
2014-15,27.0,Pondicherry,0.22,0.15,0.15,0.02,0.02,0.01,0.03,0.03,0.02,0.1,0.07,0.06
2014-15,28.0,Punjab,24.8,27.35,27.34,9.0,7.36,7.15,0.5,0.75,0.65,0.45,0.46,0.45
2014-15,29.0,Rajasthan,18.5,18.49,18.47,5.0,5.71,5.66,0.16,0.16,0.12,0.96,0.68,0.66
2014-15,30.0,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,31.0,Tamil Nadu,10.0,9.9,9.9,3.75,2.42,2.38,4.0,3.01,2.93,6.5,5.37,5.16
2014-15,32.0,Telangana,14.23,12.47,12.36,3.23,1.68,1.65,1.31,1.17,1.08,7.66,7.83,7.59
2014-15,33.0,Tripura,0.35,0.22,0.22,0.06,0.0,0.0,0.14,0.03,0.03,0.03,0.01,0.01
2014-15,34.0,Uttar Pradesh,62.0,63.14,62.54,19.5,16.84,16.17,1.75,2.36,2.04,9.0,6.57,6.29
2014-15,35.0,Uttarakhand,2.5,2.82,2.8,0.35,0.26,0.26,0.05,0.02,0.02,0.5,0.42,0.39
2014-15,36.0,West Bengal,13.2,13.13,13.12,3.75,2.63,2.55,2.4,2.88,2.36,8.5,9.21,8.7
