Episode,Total_Reward
1,-164.74
2,-153.0
3,-52.599999999999994
4,-113.74
5,-144.42000000000002
6,-57.94
7,-34.68
8,-56.10000000000001
9,-55.900000000000006
10,-31.379999999999992
11,-108.94000000000001
12,-69.54
13,-36.94
14,-75.5
15,-196.9
16,-123.30000000000001
17,-5.699999999999999
18,-145.3
19,-233.8
20,-65.04
21,-80.8
22,-35.419999999999995
23,10.399999999999999
24,-7.7
25,-46.760000000000005
26,-13.199999999999996
27,-41.64
28,-176.0
29,-55.14
30,-163.40000000000003
31,-136.4
32,-93.28
33,-4.6800000000000095
34,-163.0
35,-16.300000000000004
36,-2.900000000000002
37,-29.280000000000005
38,-109.94000000000001
39,-17.099999999999994
40,-42.64
41,-45.30000000000001
42,-127.54
43,-56.7
44,-75.3
45,-116.5
46,-65.2
47,-51.30000000000002
48,-148.39999999999998
49,-19.739999999999995
50,-237.6
51,-116.3
52,-120.19999999999999
53,-116.24
54,-109.0
55,-104.69999999999999
56,-136.94
57,56.379999999999995
58,-76.03999999999999
59,24.66
60,-63.040000000000006
61,-109.0
62,32.599999999999994
63,26.799999999999986
64,-56.5
65,3.1000000000000014
66,-81.9
67,-95.60000000000001
68,-113.2
69,-21.239999999999995
70,-28.9
71,-7.400000000000003
72,40.5
73,-79.74
74,-38.04
75,-27.759999999999998
76,49.38
77,42.959999999999994
78,93.75999999999999
79,58.0
80,-52.5
81,-80.97999999999999
82,-37.03999999999999
83,-81.19999999999999
84,-14.400000000000002
85,-65.00000000000001
86,49.1
87,38.00000000000001
88,47.89999999999999
89,-30.400000000000006
90,-1.8399999999999999
91,-61.719999999999985
92,29.200000000000003
93,-10.740000000000006
94,-92.90000000000002
95,-6.400000000000006
96,17.8
97,29.42
98,12.899999999999995
99,14.859999999999998
100,-16.900000000000002
101,-26.54
102,-56.5
103,-72.34
104,-59.52000000000001
105,6.199999999999998
106,-2.5
107,23.060000000000002
108,-26.04
109,1.3599999999999994
110,40.9
111,7.6000000000000005
112,-4.899999999999999
113,-97.80000000000001
114,-30.700000000000003
115,-97.9
116,-19.0
117,-71.7
118,15.900000000000006
119,-47.900000000000006
120,-3.1000000000000014
121,46.059999999999995
122,0.7199999999999989
123,-89.0
124,-11.999999999999996
125,-26.299999999999997
126,84.0
127,-68.68
128,35.5
129,-225.94
130,-46.60000000000001
131,45.8
132,38.5
133,-36.94
134,78.75999999999999
135,10.000000000000004
136,3.099999999999996
137,8.759999999999998
138,-11.5
139,-42.2
140,-10.239999999999998
141,19.96
142,11.599999999999998
143,-54.0
144,-11.600000000000001
145,83.89999999999999
146,52.7
147,-1.3999999999999986
148,-21.399999999999995
149,83.05999999999999
150,-29.04
151,35.8
152,48.10000000000001
153,-6.0000000000000036
154,45.019999999999996
155,-40.2
156,-45.8
157,62.9
158,31.7
159,12.099999999999994
160,20.099999999999994
161,46.4
162,56.56
163,86.56
164,-100.64
165,-31.620000000000005
166,40.56
167,39.29999999999999
168,71.46
169,-40.099999999999994
170,29.2
171,106.9
172,39.7
173,-73.14
174,95.2
175,-76.20000000000002
176,21.36
177,-10.799999999999997
178,147.0
179,144.6
180,-22.700000000000003
181,-41.64
182,14.900000000000004
183,132.56
184,-30.740000000000002
185,84.51999999999998
186,17.36
187,-28.939999999999998
188,108.08
189,-112.4
190,87.3
191,31.360000000000007
192,6.3999999999999915
193,-24.900000000000006
194,89.8
195,82.1
196,79.50000000000001
197,13.200000000000003
198,22.700000000000006
199,-3.8999999999999986
200,56.60000000000001
201,67.0
202,19.459999999999994
203,125.0
204,78.16
205,-3.700000000000003
206,45.3
207,-10.899999999999991
208,-30.799999999999997
209,4.899999999999999
210,129.56
211,9.679999999999993
212,89.28
213,105.61999999999999
214,-3.8999999999999986
215,68.0
216,31.0
217,32.760000000000005
218,76.06
219,-1.4400000000000048
220,78.69999999999999
221,-20.2
222,71.72
223,93.8
224,-47.599999999999994
225,-21.900000000000006
226,0.5999999999999943
227,-3.552713678800501e-15
228,69.89999999999999
229,28.9
230,37.1
231,63.8
232,-9.0
233,108.3
234,101.0
235,98.0
236,44.0
237,50.8
238,150.06
239,130.36
240,98.7
